article_title,country,lastrevid,article_quality,population,region
Shahjahan Noori,Afghanistan,1099689043.0,GA,41.1,SOUTH ASIA
Abdul Ghafar Lakanwal,Afghanistan,943562276.0,Start,41.1,SOUTH ASIA
Majah Ha Adrif,Afghanistan,852404094.0,Start,41.1,SOUTH ASIA
Haroon al-Afghani,Afghanistan,1095102390.0,B,41.1,SOUTH ASIA
Tayyab Agha,Afghanistan,1104998382.0,Start,41.1,SOUTH ASIA
Ahmadullah Wasiq,Afghanistan,1109361754.0,Start,41.1,SOUTH ASIA
Aziza Ahmadyar,Afghanistan,1087211008.0,Start,41.1,SOUTH ASIA
Muqadasa Ahmadzai,Afghanistan,1082489593.0,Start,41.1,SOUTH ASIA
Mohammad Sarwar Ahmedzai,Afghanistan,1038918070.0,Start,41.1,SOUTH ASIA
Amir Muhammad Akhundzada,Afghanistan,1069322182.0,Start,41.1,SOUTH ASIA
Nasrullah Baryalai Arsalai,Afghanistan,1095526840.0,Start,41.1,SOUTH ASIA
Mohammad Asim Asim,Afghanistan,1013838830.0,Stub,41.1,SOUTH ASIA
Atiqullah Atifmal,Afghanistan,1112407669.0,Start,41.1,SOUTH ASIA
Abdul Rahim Ayoubi,Afghanistan,1108886061.0,Start,41.1,SOUTH ASIA
Alhaj Mutalib Baig,Afghanistan,1111494041.0,Start,41.1,SOUTH ASIA
Ismael Balkhi,Afghanistan,1112534409.0,Start,41.1,SOUTH ASIA
Abdul Baqi Turkistani,Afghanistan,889226470.0,Stub,41.1,SOUTH ASIA
Mohammad Ghous Bashiri,Afghanistan,1102150221.0,Start,41.1,SOUTH ASIA
Abas Basir,Afghanistan,1098419766.0,C,41.1,SOUTH ASIA
Jan Baz,Afghanistan,997027082.0,Stub,41.1,SOUTH ASIA
Ahmad Behzad,Afghanistan,1103948295.0,Start,41.1,SOUTH ASIA
Bashir Ahmad Bezan,Afghanistan,1060707209.0,Start,41.1,SOUTH ASIA
Rafiullah Bidar,Afghanistan,977208323.0,Stub,41.1,SOUTH ASIA
Mohammad Siddiq Chakari,Afghanistan,1105913099.0,Stub,41.1,SOUTH ASIA
Cheragh Ali Cheragh,Afghanistan,1087211968.0,Start,41.1,SOUTH ASIA
Nasir Ahmad Durrani,Afghanistan,988838315.0,Stub,41.1,SOUTH ASIA
Elay Ershad,Afghanistan,1102489654.0,Stub,41.1,SOUTH ASIA
Muhammad Hashim Esmatullahi,Afghanistan,949986748.0,Stub,41.1,SOUTH ASIA
Ezatullah (Nangarhar),Afghanistan,947885788.0,Stub,41.1,SOUTH ASIA
Aimal Faizi,Afghanistan,1033383351.0,Stub,41.1,SOUTH ASIA
Mohammad Nasim Faqiri,Afghanistan,1098051193.0,Start,41.1,SOUTH ASIA
Mohammad Nazar Faqiri,Afghanistan,1095525798.0,Stub,41.1,SOUTH ASIA
Sharif Ghalib,Afghanistan,1041460606.0,B,41.1,SOUTH ASIA
Hashmat Ghani Ahmadzai,Afghanistan,1112933356.0,C,41.1,SOUTH ASIA
Abdul Ghani Ghani,Afghanistan,1072441893.0,Stub,41.1,SOUTH ASIA
Ashraf Ghani,Afghanistan,1113195582.0,B,41.1,SOUTH ASIA
Abdul Samad Ghaus,Afghanistan,1072271854.0,Stub,41.1,SOUTH ASIA
Ghulam Ghaus,Afghanistan,1115758710.0,Stub,41.1,SOUTH ASIA
Ghulam Muhammad Ghobar,Afghanistan,1108886395.0,Stub,41.1,SOUTH ASIA
Mohammad Gul (Helmand Council),Afghanistan,1092523687.0,Stub,41.1,SOUTH ASIA
Ghulam Haider Hamidi,Afghanistan,1095018556.0,Start,41.1,SOUTH ASIA
Rangina Hamidi,Afghanistan,1104280812.0,C,41.1,SOUTH ASIA
Abdul Malik Hamwar,Afghanistan,1100874645.0,Stub,41.1,SOUTH ASIA
Sayed Zafar Hashemi,Afghanistan,1112804808.0,Start,41.1,SOUTH ASIA
Qutbuddin Hilal,Afghanistan,1104423275.0,Start,41.1,SOUTH ASIA
